"","eventID","country","locality","site","date","strata","quadrat","taxa"
"1","ECUADOR_SANTACRUZ_CHARLESDARWINFOUNDATION_20190327_HIGHTIDE_R005-00001","ECUADOR","SANTACRUZ","CHARLESDARWINFOUNDATION","20190327","HIGHTIDE","R005-00001","Grapsus grapsus"
"2","ECUADOR_SANTACRUZ_CHARLESDARWINFOUNDATION_20190327_HIGHTIDE_R008-00002","ECUADOR","SANTACRUZ","CHARLESDARWINFOUNDATION","20190327","HIGHTIDE","R008-00002","Ulva"
"3","ECUADOR_SANTACRUZ_CHARLESDARWINFOUNDATION_20190327_HIGHTIDE_R008-00003","ECUADOR","SANTACRUZ","CHARLESDARWINFOUNDATION","20190327","HIGHTIDE","R008-00003","Ceratodictyon"
"4","ECUADOR_SANTACRUZ_CHARLESDARWINFOUNDATION_20190327_HIGHTIDE_R009-00004","ECUADOR","SANTACRUZ","CHARLESDARWINFOUNDATION","20190327","HIGHTIDE","R009-00004","Ceratodictyon"
"5","ECUADOR_SANTACRUZ_CHARLESDARWINFOUNDATION_20190327_HIGHTIDE_R010-00005","ECUADOR","SANTACRUZ","CHARLESDARWINFOUNDATION","20190327","HIGHTIDE","R010-00005","Ceratodictyon"
"6","ECUADOR_SANTACRUZ_CHARLESDARWINFOUNDATION_20190327_LOWTIDE_R001-00006","ECUADOR","SANTACRUZ","CHARLESDARWINFOUNDATION","20190327","LOWTIDE","R001-00006","Zoanthus sansibaricus"
"7","ECUADOR_SANTACRUZ_CHARLESDARWINFOUNDATION_20190327_LOWTIDE_R002-00007","ECUADOR","SANTACRUZ","CHARLESDARWINFOUNDATION","20190327","LOWTIDE","R002-00007","Grapsus grapsus"
"8","ECUADOR_SANTACRUZ_CHARLESDARWINFOUNDATION_20190327_LOWTIDE_R002-00008","ECUADOR","SANTACRUZ","CHARLESDARWINFOUNDATION","20190327","LOWTIDE","R002-00008","Lithophyllum"
"9","ECUADOR_SANTACRUZ_CHARLESDARWINFOUNDATION_20190327_LOWTIDE_R005-00009","ECUADOR","SANTACRUZ","CHARLESDARWINFOUNDATION","20190327","LOWTIDE","R005-00009","Calcinus explorator"
"10","ECUADOR_SANTACRUZ_CHARLESDARWINFOUNDATION_20190327_LOWTIDE_R006-00010","ECUADOR","SANTACRUZ","CHARLESDARWINFOUNDATION","20190327","LOWTIDE","R006-00010","Zoanthus sansibaricus"
"11","ECUADOR_SANTACRUZ_CHARLESDARWINFOUNDATION_20190327_LOWTIDE_R007-00011","ECUADOR","SANTACRUZ","CHARLESDARWINFOUNDATION","20190327","LOWTIDE","R007-00011","Calcinus explorator"
"12","ECUADOR_SANTACRUZ_CHARLESDARWINFOUNDATION_20190327_LOWTIDE_R007-00012","ECUADOR","SANTACRUZ","CHARLESDARWINFOUNDATION","20190327","LOWTIDE","R007-00012","Lithophyllum"
"13","ECUADOR_SANTACRUZ_CHARLESDARWINFOUNDATION_20190327_LOWTIDE_R009-00013","ECUADOR","SANTACRUZ","CHARLESDARWINFOUNDATION","20190327","LOWTIDE","R009-00013","Calcinus explorator"
"14","ECUADOR_SANTACRUZ_CHARLESDARWINFOUNDATION_20190327_LOWTIDE_R009-00014","ECUADOR","SANTACRUZ","CHARLESDARWINFOUNDATION","20190327","LOWTIDE","R009-00014","Palaemonidae"
"15","ECUADOR_SANTACRUZ_CHARLESDARWINFOUNDATION_20190327_LOWTIDE_R009-00015","ECUADOR","SANTACRUZ","CHARLESDARWINFOUNDATION","20190327","LOWTIDE","R009-00015","Lithophyllum"
"16","ECUADOR_SANTACRUZ_CHARLESDARWINFOUNDATION_20190327_LOWTIDE_R010-00016","ECUADOR","SANTACRUZ","CHARLESDARWINFOUNDATION","20190327","LOWTIDE","R010-00016","Ulva"
"17","ECUADOR_SANTACRUZ_CHARLESDARWINFOUNDATION_20190327_MIDTIDE_R001-00017","ECUADOR","SANTACRUZ","CHARLESDARWINFOUNDATION","20190327","MIDTIDE","R001-00017","Grapsus grapsus"
"18","ECUADOR_SANTACRUZ_CHARLESDARWINFOUNDATION_20190327_MIDTIDE_R001-00018","ECUADOR","SANTACRUZ","CHARLESDARWINFOUNDATION","20190327","MIDTIDE","R001-00018","Ceratodictyon"
"19","ECUADOR_SANTACRUZ_CHARLESDARWINFOUNDATION_20190327_MIDTIDE_R002-00019","ECUADOR","SANTACRUZ","CHARLESDARWINFOUNDATION","20190327","MIDTIDE","R002-00019","Ceratodictyon"
"20","ECUADOR_SANTACRUZ_CHARLESDARWINFOUNDATION_20190327_MIDTIDE_R003-00020","ECUADOR","SANTACRUZ","CHARLESDARWINFOUNDATION","20190327","MIDTIDE","R003-00020","Plicopurpura columellaris"
"21","ECUADOR_SANTACRUZ_CHARLESDARWINFOUNDATION_20190327_MIDTIDE_R003-00021","ECUADOR","SANTACRUZ","CHARLESDARWINFOUNDATION","20190327","MIDTIDE","R003-00021","Ceratodictyon"
"22","ECUADOR_SANTACRUZ_CHARLESDARWINFOUNDATION_20190327_MIDTIDE_R004-00022","ECUADOR","SANTACRUZ","CHARLESDARWINFOUNDATION","20190327","MIDTIDE","R004-00022","Ceratodictyon"
"23","ECUADOR_SANTACRUZ_CHARLESDARWINFOUNDATION_20190327_MIDTIDE_R006-00023","ECUADOR","SANTACRUZ","CHARLESDARWINFOUNDATION","20190327","MIDTIDE","R006-00023","Ceratodictyon"
"24","ECUADOR_SANTACRUZ_CHARLESDARWINFOUNDATION_20190327_MIDTIDE_R008-00024","ECUADOR","SANTACRUZ","CHARLESDARWINFOUNDATION","20190327","MIDTIDE","R008-00024","Plicopurpura columellaris"
"25","ECUADOR_SANTACRUZ_CHARLESDARWINFOUNDATION_20190327_MIDTIDE_R008-00025","ECUADOR","SANTACRUZ","CHARLESDARWINFOUNDATION","20190327","MIDTIDE","R008-00025","Ceratodictyon"
"26","ECUADOR_SANTACRUZ_CHARLESDARWINFOUNDATION_20190327_MIDTIDE_R009-00026","ECUADOR","SANTACRUZ","CHARLESDARWINFOUNDATION","20190327","MIDTIDE","R009-00026","Ozius verreauxii"
"27","ECUADOR_SANTACRUZ_CHARLESDARWINFOUNDATION_20190327_MIDTIDE_R010-00027","ECUADOR","SANTACRUZ","CHARLESDARWINFOUNDATION","20190327","MIDTIDE","R010-00027","Tetraclita squamosa milleporosa"
"28",NA,NA,NA,NA,NA,NA,NA,NA
